time, light_amp
2943.2259252, 7
2943.2283641, 7
2943.2286646, 6
2943.2289673, 6
2943.2293073, 6
2943.2305526, 5
2943.2309643, 5
2943.2312495, 6
2943.2325656, 7
2943.2332077, 6
2943.233594, 7
2943.2339033, 5
2943.2342045, 6
2943.2345017, 6
2943.2366403, 6
2943.2370689, 6
2943.237382, 6
2943.2377141, 7
2943.2380998, 5
2943.2384538, 5
2943.2389414, 5
2943.2407034, 6
2943.241027, 6
2943.2415993, 6
2943.2421127, 5
2943.242404, 7
2943.2428112, 6
2943.2447984, 6
2943.2451288, 6
2943.245552, 6
2943.2459529, 6
2943.2463202, 6
2943.2466541, 6
2943.2469792, 5
2943.2489895, 7
2943.2494719, 7
2943.2499297, 6
2943.2504037, 6
2943.2509078, 6
2943.251252, 6
2943.2529826, 6
2943.2533137, 7
2943.2536488, 5
2943.2539616, 5
2943.2543449, 6
2943.254664, 6
2943.2570919, 6
2943.2574524, 6
2943.2578192, 6
2943.2582866, 6
2943.2587265, 6
2943.2590537, 7
2943.2594903, 6
2943.2611728, 5
2943.2615005, 5
2943.2619636, 5
2943.262446, 5
2943.2627764, 5
2943.2631005, 6
2943.2653154, 6
2943.2657954, 6
2943.266349, 5
2943.2667878, 6
2943.267446, 5
2943.2679388, 5
2943.2682994, 6
2943.2693997, 5
2943.2697676, 6
2943.2703701, 6
2943.2706923, 5
2943.2710558, 7
2943.2714936, 6
2943.2735173, 7
2943.2738395, 6
2943.2741371, 7
2943.2744128, 7
2943.274748, 6
2943.2750406, 5
2943.2755339, 6
2943.2775611, 7
2943.2778836, 6
2943.2782268, 5
2943.2788132, 6
2943.2791944, 6
2943.2796558, 6
2943.2816491, 7
2943.2820224, 7
2943.2824811, 5
2943.283301, 6
2943.2837054, 7
2943.2842193, 6
2943.2858331, 6
2943.2862029, 6
2943.2865069, 7
2943.2869626, 6
2943.2873183, 6
2943.2876459, 6
2943.287974, 6
2943.2898465, 6
2943.2901686, 5
2943.2904685, 7
2943.2908442, 6
2943.2912272, 6
2943.2915213, 6
2943.2939449, 6
2943.2942772, 6
2943.2946697, 6
2943.2952303, 6
2943.295604, 5
2943.296058, 5
2943.296444, 5
2943.2980228, 6
2943.2983482, 7
2943.298988, 6
2943.2994548, 6
2943.2998564, 6
2943.3004315, 6
2943.3022063, 5
2943.3026648, 6
2943.3029922, 6
2943.3033044, 5
2943.3037103, 6
2943.3041568, 5
2943.3045112, 6
2943.306225, 6
2943.3065489, 7
2943.3070936, 6
2943.3074992, 5
2943.3079347, 7
2943.3082531, 6
2943.3104048, 6
2943.3107241, 6
2943.3111407, 6
2943.311546, 7
2943.3119782, 5
2943.312373, 5
2943.3144655, 6
2943.3148529, 6
2943.3151613, 6
2943.3155183, 6
2943.3160388, 6
2943.3163722, 6
2943.3166767, 6
2943.3185719, 7
2943.3189158, 6
2943.3193214, 5
2943.3196829, 6
2943.3200519, 6
2943.3205516, 7
2943.3227156, 5
2943.3232051, 6
2943.3236445, 6
2943.3240209, 6
2943.3245003, 7
2943.3250362, 5
2943.3253707, 7
2943.3266602, 6
2943.3269739, 6
2943.3274242, 5
2943.3277281, 7
2943.3280221, 5
2943.3283204, 6
2943.330812, 6
2943.3311306, 6
2943.3316424, 6
2943.332217, 6
2943.3326221, 6
2943.3330059, 5
2943.3334246, 7
2943.3349085, 6
2943.3352719, 6
2943.3357164, 6
2943.3360191, 7
