time, light_amp
1.41398825393200e+05, 9
1.41398825469900e+05, 10
1.41398825498100e+05, 10
1.41398825530500e+05, 9
1.41398825549400e+05, 10
1.41398825577500e+05, 10
1.41398825595300e+05, 10
1.41398825612200e+05, 10
1.41398825629100e+05, 9
1.41398825645600e+05, 10
1.41398825661900e+05, 9
1.41398825678500e+05, 10
1.41398825694800e+05, 10
1.41398825711100e+05, 10
1.41398825728800e+05, 10
1.41398825746300e+05, 10
1.41398825764800e+05, 9
1.41398825782000e+05, 9
1.41398825799200e+05, 10
1.41398825815900e+05, 10
1.41398825832300e+05, 10
1.41398825848900e+05, 9
1.41398825873700e+05, 10
1.41398825889900e+05, 10
1.41398825906100e+05, 10
1.41398825922600e+05, 10
1.41398825939200e+05, 10
1.41398825955500e+05, 10
1.41398825971800e+05, 10
1.41398825988100e+05, 10
1.41398826004400e+05, 10
1.41398826020800e+05, 10
1.41398826037200e+05, 10
1.41398826054300e+05, 10
1.41398826071100e+05, 10
1.41398826089000e+05, 9
1.41398826105800e+05, 9
1.41398826141600e+05, 10
1.41398826165800e+05, 10
1.41398826183200e+05, 10
1.41398826200200e+05, 10
1.41398826217300e+05, 9
1.41398826234600e+05, 10
1.41398826251500e+05, 10
1.41398826268500e+05, 10
1.41398826286000e+05, 10
1.41398826303000e+05, 10
1.41398826320600e+05, 10
1.41398826351300e+05, 10
1.41398826368500e+05, 10
1.41398826405200e+05, 10
1.41398826436100e+05, 10
1.41398826453200e+05, 9
1.41398826470600e+05, 9
1.41398826487600e+05, 10
1.41398826510000e+05, 10
1.41398826539400e+05, 10
1.41398826555000e+05, 10
1.41398826571000e+05, 10
1.41398826586500e+05, 10
1.41398826602400e+05, 10
1.41398826618000e+05, 9
1.41398826633600e+05, 10
1.41398826649300e+05, 10
1.41398826665500e+05, 10
1.41398826682800e+05, 10
1.41398826699100e+05, 10
1.41398826715200e+05, 10
1.41398826731300e+05, 9
1.41398826747900e+05, 9
1.41398826782800e+05, 10
