0,0,1651551976.494321
14.6, 1.55, 1651551979.3539972
13.8, 0.15, 1651551985.3410673
10, 1.5, 1651551991.33935
14.4, 1.2, 1651551997.3368695
14.8, 1.9, 1651552003.3353143
11.6, 0.3, 1651552009.333199
8.2, 0.35, 1651552015.330223
10.2, 1.85, 1651552021.3283744
15, 0.25, 1651552027.326909
12.6, 0.05, 1651552033.3249633
9.6, 0.8, 1651552039.322826
13.2, 1.1, 1651552045.3208697
11.6, 0.3, 1651552051.319085
10.6, 0.55, 1651552057.316159
12.2, 1.35, 1651552063.3141885
10.8, 0.9, 1651552069.3124323
9.6, 0.8, 1651552075.3104427
8, 0, 1651552081.3084824
9.4, 0.45, 1651552087.3059318
14.4, 1.2, 1651552093.3043756
12.2, 1.35, 1651552099.3020384
10.6, 0.55, 1651552105.3000228
10.6, 0.55, 1651552111.2983983
10, 1.5, 1651552117.2962642
10.4, 0.2, 1651552123.2948217
11.6, 0.3, 1651552129.3085754
15.4, 0.95, 1651552135.3071396
15.4, 0.95, 1651552141.3044815
13.8, 0.15, 1651552147.302269
13.2, 1.1, 1651552153.3006337
11.2, 1.6, 1651552159.2996306
8.8, 1.4, 1651552165.2964509
14.8, 1.9, 1651552171.2947853
11, 1.25, 1651552177.410134
10.4, 0.2, 1651552183.4237704
11.2, 1.6, 1651552189.4217215
10.4, 0.2, 1651552195.4202793
14, 0.5, 1651552201.4179375
9.8, 1.15, 1651552207.415943
10.2, 1.85, 1651552213.414491
11.8, 0.65, 1651552219.4115987
11.4, 1.95, 1651552225.409574
11.2, 1.6, 1651552231.4070234
9.2, 0.1, 1651552237.4055035
10.8, 0.9, 1651552243.4028258
9, 1.75, 1651552249.401244
8.8, 1.4, 1651552255.399152
11.6, 0.3, 1651552261.396888
12.8, 0.4, 1651552267.3953938
10.8, 0.9, 1651552273.3932643
12, 1, 1651552279.3911948
14, 0.5, 1651552285.3892653
12.2, 1.35, 1651552291.3876846
15.4, 0.95, 1651552297.3849566
9.4, 0.45, 1651552303.3829453
14.6, 1.55, 1651552309.3810759
14, 0.5, 1651552315.379481
11, 1.25, 1651552321.3773205
11.4, 1.95, 1651552327.374923
15.2, 0.6, 1651552333.3732212
15.6, 1.3, 1651552339.370594
12.2, 1.35, 1651552345.3693633
8.6, 1.05, 1651552351.3666158
9.8, 1.15, 1651552357.364661
11.8, 0.65, 1651552363.3626478
8.8, 1.4, 1651552369.3605127
9.4, 0.45, 1651552375.3581975
14.2, 0.85, 1651552381.3566895
13.8, 0.15, 1651552387.3547463
8.2, 0.35, 1651552393.352309
8.2, 0.35, 1651552399.3505013
15, 0.25, 1651552405.3487844
12.8, 0.4, 1651552411.3467739
13.6, 1.8, 1651552417.344429
12.4, 1.7, 1651552423.342252
10.2, 1.85, 1651552429.3399863
12.6, 0.05, 1651552435.3386166
15, 0.25, 1651552441.3360937
11.4, 1.95, 1651552447.3342993
13.2, 1.1, 1651552453.3322265
8.4, 0.7, 1651552459.329679
13.8, 0.15, 1651552465.3284404
15.2, 0.6, 1651552471.3258631
12.6, 0.05, 1651552477.324095
8.2, 0.35, 1651552483.3218575
14.6, 1.55, 1651552489.3202338
10.4, 0.2, 1651552495.3182812
9.6, 0.8, 1651552501.3157303
13, 0.75, 1651552507.3139708
8.6, 1.05, 1651552513.3116934
9.4, 0.45, 1651552519.3100843
8.6, 1.05, 1651552525.3086004
9, 1.75, 1651552531.3065877
15.8, 1.65, 1651552537.303078
12.6, 0.05, 1651552543.3017032
8.6, 1.05, 1651552549.2999353
13.6, 1.8, 1651552555.2981696
8.6, 1.05, 1651552561.295998
8, 0, 1651552567.2939067
13.6, 1.8, 1651552573.2919617
10.4, 0.2, 1651552579.2898126
13.6, 1.8, 1651552585.2871237
9.8, 1.15, 1651552591.2852411
11.8, 0.65, 1651552597.2836895
10, 1.5, 1651552603.2811353
15.6, 1.3, 1651552609.279522
15, 0.25, 1651552615.2773468
8.2, 0.35, 1651552621.2747047
13.8, 0.15, 1651552627.2734363
12.8, 0.4, 1651552633.2708402
15.8, 1.65, 1651552639.269671
15.8, 1.65, 1651552645.267466
9.8, 1.15, 1651552651.2647302
15.6, 1.3, 1651552657.2794573
14.2, 0.85, 1651552663.277249
12, 1, 1651552669.2755413
14, 0.5, 1651552675.27449
11.2, 1.6, 1651552681.271564
15.4, 0.95, 1651552687.2690296
15.2, 0.6, 1651552693.2671232
14.8, 1.9, 1651552699.2656019
14.8, 1.9, 1651552705.2635937
8.4, 0.7, 1651552711.2613082
11.8, 0.65, 1651552717.259416
12, 1, 1651552723.2577362
13.4, 1.45, 1651552729.255003
12.4, 1.7, 1651552735.2527082
13.4, 1.45, 1651552741.2519295
9, 1.75, 1651552747.2490282
8.2, 0.35, 1651552753.2466607
15.6, 1.3, 1651552759.2449477
14.6, 1.55, 1651552765.242819
11.8, 0.65, 1651552771.2416348
9.8, 1.15, 1651552777.2392883
9, 1.75, 1651552783.236804
12, 1, 1651552789.2351813
13.6, 1.8, 1651552795.2325196
9.6, 0.8, 1651552801.2304397
10.2, 1.85, 1651552807.2281783
9.2, 0.1, 1651552813.226374
13.4, 1.45, 1651552819.241206
11.4, 1.95, 1651552825.23935
10.8, 0.9, 1651552831.2372365
8.4, 0.7, 1651552837.235415
13, 0.75, 1651552843.2328603
11, 1.25, 1651552849.231262
13.2, 1.1, 1651552855.2289696
15.4, 0.95, 1651552861.227343
14.6, 1.55, 1651552867.2254093
15.6, 1.3, 1651552873.223376
14.4, 1.2, 1651552879.2213187
11.2, 1.6, 1651552885.2191732
9.2, 0.1, 1651552891.2172997
15.2, 0.6, 1651552897.2152278
13.4, 1.45, 1651552903.213561
9.8, 1.15, 1651552909.2111945
11.6, 0.3, 1651552915.2091637
11.2, 1.6, 1651552921.207125
14.2, 0.85, 1651552927.204819
9.6, 0.8, 1651552933.2024784
15.6, 1.3, 1651552939.2003875
14.2, 0.85, 1651552945.1982417
10.6, 0.55, 1651552951.1970036
15, 0.25, 1651552957.194186
10.8, 0.9, 1651552963.1925242
14.4, 1.2, 1651552969.19005
9.2, 0.1, 1651552975.1884377
14.6, 1.55, 1651552981.1864123
12.2, 1.35, 1651552987.1846943
9, 1.75, 1651552993.1821036
8.4, 0.7, 1651552999.1806638
13, 0.75, 1651553005.1785033
14, 0.5, 1651553011.1758885
12.4, 1.7, 1651553017.1741998
14.2, 0.85, 1651553023.1721594
15.8, 1.65, 1651553029.1702077
11, 1.25, 1651553035.1676888
10, 1.5, 1651553041.166082
8.8, 1.4, 1651553047.1636527
13.4, 1.45, 1651553053.1621194
14.8, 1.9, 1651553059.1600401
8.8, 1.4, 1651553065.1573787
9.2, 0.1, 1651553071.1562445
13, 0.75, 1651553077.1545846
9.6, 0.8, 1651553083.1516318
9.2, 0.1, 1651553089.1499968
12.8, 0.4, 1651553095.1481469
14.2, 0.85, 1651553101.1458263
12.8, 0.4, 1651553107.1440673
12, 1, 1651553113.1412282
12.4, 1.7, 1651553119.1398075
13.2, 1.1, 1651553125.137804
8.6, 1.05, 1651553131.135254
10.6, 0.55, 1651553137.1336718
12.4, 1.7, 1651553143.1316664
15, 0.25, 1651553149.1294625
10.2, 1.85, 1651553155.1267884
12.6, 0.05, 1651553161.1252875
11, 1.25, 1651553167.1239197
8.4, 0.7, 1651553173.1215973
15.8, 1.65, 1651553179.1190155
10, 1.5, 1651553185.1168337
12.4, 1.7, 1651553191.1147294
10.2, 1.85, 1651553197.1137142
11.6, 0.3, 1651553203.1110654
