time, light_amp
87977.7187448, 4
87977.7190825, 4
87977.7193903, 4
87977.7196893, 3
87977.720024, 3
87977.7203323, 4
87977.7208179, 4
87977.7211426, 3
87977.7214477, 4
87977.7217439, 4
87977.722039, 4
87977.7223347, 4
87977.7227075, 5
87977.7229951, 5
87977.7233107, 4
87977.7235863, 5
87977.7240157, 3
87977.7243694, 5
87977.7247782, 5
87977.7250806, 4
87977.7254762, 4
87977.725873, 4
87977.7261784, 4
87977.7265098, 5
87977.7268542, 4
87977.7271666, 4
87977.7274961, 4
87977.7279063, 5
87977.7282315, 4
87977.7285128, 3
87977.7289678, 4
87977.7293776, 5
87977.7296982, 4
87977.7300279, 4
87977.7303211, 5
87977.7306745, 4
87977.7309926, 4
87977.7313388, 5
87977.7316861, 5
87977.7320631, 4
87977.7324324, 4
87977.7328377, 3
87977.7332008, 4
87977.7336804, 5
87977.7340523, 4
87977.7343416, 4
87977.7346541, 5
87977.7350125, 5
87977.7353968, 4
87977.7357138, 5
87977.7360099, 4
87977.7363062, 6
87977.7366293, 4
87977.7369562, 4
87977.7373063, 5
87977.7376545, 5
87977.7379939, 4
87977.7383001, 4
87977.7386044, 4
87977.7389708, 5
87977.7392825, 4
87977.7395602, 4
87977.7400005, 5
87977.7404646, 4
87977.740778, 4
87977.7410849, 4
87977.7414213, 4
87977.7417179, 4
87977.7420052, 4
87977.7422929, 5
87977.7425886, 3
87977.7429402, 5
87977.7433045, 5
87977.743755, 5
87977.744044, 4
87977.7443399, 4
87977.7447417, 5
87977.7451159, 4
87977.8554656, 0
87977.9670968, 0
87978.0788058, 0
87978.1905299, 0
87978.3021813, 0
87978.4132839, 0
87978.5240149, 0
87978.6356895, 0
87978.7473006, 0
87978.8589994, 0
87978.9707382, 0
87979.0824436, 0
87979.194209, 0
87979.3058708, 0
87979.3063618, 4
87979.3068089, 4
87979.3072059, 3
87979.3077846, 5
87979.3082033, 4
87979.3085161, 4
87979.3103901, 4
87979.3107448, 5
87979.3110903, 4
87979.3116537, 5
87979.3119646, 4
87979.3122715, 4
87979.3145199, 4
87979.3148483, 4
87979.315245, 5
87979.3155348, 4
87979.3158114, 4
87979.3162851, 4
87979.3186024, 4
87979.3189882, 4
87979.3192899, 4
87979.3197361, 4
87979.3202227, 4
87979.3206181, 4
87979.3210771, 4
87979.322676, 3
87979.3230896, 5
87979.3235045, 5
87979.3238949, 4
87979.3242557, 4
87979.3246381, 4
87979.3267751, 4
87979.3270817, 4
87979.3274783, 5
87979.327969, 4
87979.3284322, 3
87979.3291093, 4
87979.3294652, 5
87979.3308729, 5
87979.3312925, 5
87979.331673, 5
87979.332119, 5
87979.3325561, 4
87979.3328575, 4
87979.3349295, 5
87979.3352462, 4
87979.3357567, 3
87979.33612, 4
87979.3364852, 4
87979.3368572, 4
87979.3372137, 5
87979.3390257, 4
87979.3394057, 4
87979.3397528, 5
87979.340036, 5
87979.3403827, 5
87979.340848, 4
87979.343091, 5
87979.3434352, 4
87979.3438064, 4
87979.3441377, 5
87979.34448, 4
87979.3449646, 4
87979.3471465, 4
87979.3474544, 4
87979.3477965, 3
87979.3482345, 4
87979.3486124, 5
87979.3489359, 4
87979.3492452, 4
87979.3512222, 3
87979.35164, 5
87979.3520358, 5
87979.3524788, 4
87979.3527865, 6
87979.3532449, 3
87979.3554068, 4
87979.3557263, 4
87979.3561285, 5
87979.3565118, 5
87979.3568663, 4
87979.3573168, 4
87979.3576389, 5
87979.3594242, 4
87979.359739, 3
87979.3601155, 4
87979.3606946, 4
87979.3610793, 5
87979.3614009, 5
87979.3635219, 5
87979.3638298, 5
87979.3641709, 3
87979.3644878, 5
87979.3648403, 4
87979.3651422, 4
87979.3655446, 5
87979.3676223, 5
87979.36794, 4
87979.3682805, 5
87979.3686347, 5
87979.3689992, 5
87979.3693102, 4
87979.3716956, 5
87979.3719968, 4
87979.3723495, 5
87979.3727192, 4
87979.3732151, 4
87979.3736722, 5
87979.3758221, 4
87979.3761289, 3
87979.3765212, 3
87979.3768833, 4
87979.377266, 4
87979.3775838, 4
87979.3780637, 5
87979.3798947, 4
87979.3801994, 4
87979.3805466, 4
87979.3808941, 4
87979.3813097, 3
87979.3816762, 5
87979.3839954, 4
87979.3843115, 4
87979.3846781, 5
87979.3850594, 4
87979.3855883, 4
87979.386041, 4
87979.3863869, 3
87979.3880969, 3
87979.3884196, 4
87979.3887701, 4
87979.389157, 5
87979.3894624, 4
87979.3898265, 5
87979.3924292, 4
87979.3928591, 5
87979.3932213, 4
87979.3935456, 5
87979.3938432, 4
87979.3943321, 4
87979.394726, 4
87979.3963147, 5
87979.3966083, 5
87979.3970655, 4
87979.3974024, 4
87979.3977867, 4
87979.3981036, 5
87979.4004366, 4
87979.4008297, 4
87979.4013172, 4
87979.4017006, 4
87979.4020676, 4
87979.4024644, 4
87979.4045126, 5
87979.4048286, 4
87979.4052721, 4
87979.4056108, 4
87979.4059511, 5
87979.4062651, 5
87979.4065677, 4
87979.4086119, 4
87979.4090086, 4
87979.4093332, 4
87979.409781, 5
87979.4101309, 5
87979.4104721, 5
87979.4127212, 5
87979.4130495, 4
87979.4134155, 3
87979.4137399, 5
87979.4140232, 6
87979.4143673, 4
87979.4147432, 5
87979.4168232, 5
87979.4171302, 4
87979.4176349, 5
87979.4179941, 4
87979.4183362, 4
87979.4187838, 4
87979.4209144, 5
87979.4212617, 6
87979.4215668, 4
87979.4218683, 4
87979.4222815, 4
87979.422718, 4
87979.4251959, 4
87979.4254886, 3
87979.4258695, 5
87979.4261635, 4
87979.426528, 4
87979.4268809, 5
87979.4272465, 3
87979.4290982, 5
87979.4294275, 4
87979.4297737, 5
87979.4301547, 4
87979.430592, 4
87979.4309715, 4
87979.4331957, 4
87979.4335546, 5
87979.4339836, 5
87979.4344814, 5
87979.4348605, 4
87979.4351929, 4
87979.4355507, 4
87979.4372858, 5
87979.4375951, 4
87979.4379302, 4
87979.4382887, 4
87979.4386766, 4
87979.4390363, 4
87979.4414323, 4
87979.4417611, 4
87979.4421287, 5
87979.442452, 5
87979.4429675, 4
87979.4434585, 4
87979.4438052, 4
87979.4454727, 4
87979.4457841, 4
87979.4461275, 4
87979.4465656, 5
87979.4469215, 4
87979.447333, 5
87979.4495914, 4
87979.4500547, 5
87979.4505419, 4
87979.4508655, 3
87979.4511572, 5
87979.4514898, 4
87979.4536877, 4
87979.4539896, 4
87979.4543479, 4
87979.454745, 5
87979.4552717, 5
87979.4555973, 4
87979.455903, 4
87979.4577608, 4
87979.4581228, 5
87979.4585438, 4
87979.4589888, 5
87979.4593506, 3
87979.4597092, 6
87979.4618694, 4
87979.4622953, 4
87979.4626032, 4
87979.4630159, 4
87979.4634223, 4
87979.4637524, 5
87979.4640764, 5
87979.4659543, 4
87979.4662485, 4
87979.4665914, 4
87979.4670209, 5
87979.4673293, 5
87979.4677633, 4
87979.4700526, 4
87979.4704121, 5
87979.4707511, 5
87979.4711591, 5
87979.4715347, 5
87979.4720645, 4
87979.4724231, 4
87979.4741294, 4
87979.4744369, 4
87979.4748223, 4
87979.4751553, 3
87979.4755422, 5
87979.4759162, 3
87979.4782574, 3
87979.478563, 4
87979.4789163, 5
87979.4793184, 4
87979.4796614, 4
87979.479997, 4
87979.4823401, 4
87979.4827189, 4
87979.4830443, 4
87979.4833711, 5
87979.4836924, 5
87979.4840859, 4
87979.4844625, 4
87979.4864379, 5
87979.4867541, 5
87979.4870788, 4
87979.487467, 4
87979.4878357, 4
87979.4881584, 4
87979.4905338, 5
87979.490927, 4
87979.4912966, 4
87979.4918031, 3
87979.4923019, 4
87979.4926757, 4
87979.4930075, 4
87979.4945832, 4
87979.4949012, 4
87979.4952417, 4
87979.4956302, 4
87979.4959885, 4
87979.4964918, 4
87979.4987476, 4
87979.4990945, 5
87979.4994964, 3
87979.4998598, 5
87979.500284, 4
87979.5007089, 4
87979.5010785, 4
87979.5028113, 5
87979.5031097, 4
87979.5034514, 4
87979.5038232, 3
87979.5042093, 4
87979.5046085, 4
87979.5069107, 5
87979.5072211, 4
87979.5075472, 4
87979.5078956, 5
87979.5082981, 5
87979.5086259, 5
87979.5110032, 4
87979.5113279, 4
87979.5116355, 4
87979.5121061, 5
87979.5124063, 4
87979.5126958, 3
87979.5130822, 4
87979.5151126, 5
87979.5154234, 4
87979.5157855, 4
87979.516222, 4
87979.5165347, 5
87979.5168293, 5
87979.5192211, 3
87979.5195312, 5
87979.5198522, 5
87979.5201566, 4
87979.5204763, 4
87979.5208772, 4
87979.5212401, 4
87979.523284, 4
87979.5235792, 5
87979.5239323, 4
87979.5243041, 5
87979.5247025, 4
87979.5250389, 3
87979.5275056, 4
87979.5279506, 5
87979.5282839, 5
87979.5286237, 4
87979.5289692, 3
87979.5293322, 5
87979.5296725, 4
87979.5314835, 4
87979.5317915, 4
87979.5321791, 4
87979.5324912, 4
87979.5330052, 6
87979.5333563, 4
87979.5355854, 4
87979.5359787, 4
87979.5363336, 5
87979.5366707, 5
87979.5370672, 3
87979.5374003, 5
87979.5396835, 4
87979.5400087, 4
87979.5403693, 4
87979.5407584, 4
87979.5410965, 3
87979.5414592, 5
87979.5418843, 3
87979.5437575, 4
87979.5440902, 4
87979.5444269, 3
87979.5447231, 4
87979.5450671, 4
87979.5454745, 4
87979.5478893, 4
87979.5482413, 4
87979.5487277, 5
87979.5490695, 4
87979.5494824, 5
87979.5498974, 4
87979.5502011, 5
87979.552049, 4
87979.5523822, 4
87979.5527043, 4
87979.5530233, 4
87979.5533086, 5
87979.5536892, 4
87979.5560833, 3
87979.5563969, 4
87979.5567341, 3
87979.5572042, 5
87979.5575235, 4
87979.557825, 5
87979.5583443, 5
87979.5601561, 5
87979.5604753, 4
87979.5608216, 5
87979.5612699, 4
87979.5619225, 4
87979.562441, 5
87979.5642861, 5
87979.5647077, 4
87979.5650877, 4
87979.5655016, 4
87979.5657984, 4
87979.5663053, 4
87979.568354, 5
87979.5686707, 3
87979.5690019, 5
87979.5692701, 5
87979.5696489, 5
87979.5699517, 4
87979.5703412, 4
87979.5724374, 4
87979.5727429, 5
87979.5731164, 5
87979.5734397, 5
87979.5737882, 3
87979.574133, 4
87979.5765338, 4
87979.5768817, 4
87979.5772866, 5
87979.5777288, 3
87979.5781219, 4
87979.5785206, 5
87979.5788821, 4
87979.5806375, 5
87979.5809532, 4
87979.5813266, 4
87979.58169, 4
87979.5821071, 6
87979.5823997, 5
87979.5847334, 4
87979.5850465, 5
87979.5853976, 5
87979.5857148, 4
87979.5860802, 4
87979.5863976, 4
87979.588838, 4
87979.5891974, 4
87979.5895837, 4
87979.5899105, 4
87979.5902453, 4
87979.5905409, 4
87979.5908394, 4
87979.5929952, 4
87979.5933406, 4
87979.5936689, 4
87979.5940076, 4
87979.5943123, 5
87979.5946635, 5
87979.5970112, 5
87979.5973284, 3
87979.5977576, 4
87979.5980878, 4
87979.5984657, 4
87979.5989249, 4
87979.5992561, 5
87979.6011103, 5
87979.60142, 5
87979.601788, 5
87979.6021529, 5
87979.6025072, 5
87979.6028697, 5
87979.6052112, 4
87979.6055092, 4
87979.6058364, 4
87979.6062714, 4
87979.6066319, 5
87979.6070958, 5
87979.6074446, 4
87979.6093137, 4
87979.6096127, 5
87979.6099617, 5
87979.6103176, 3
87979.6107921, 4
87979.6112467, 4
87979.6134387, 5
87979.6137973, 4
87979.614283, 5
87979.614662, 4
87979.6149797, 4
87979.6155086, 4
87979.617511, 4
87979.6179109, 4
87979.618338, 4
87979.6187126, 5
87979.6190854, 4
87979.6194805, 4
87979.6198408, 3
87979.6215842, 3
87979.6219828, 5
87979.6222821, 5
87979.6227051, 4
87979.6230663, 4
87979.6235323, 5
87979.6257185, 4
87979.6260365, 4
87979.6264364, 5
87979.6268042, 4
87979.6272249, 4
87979.6276424, 4
87979.6280562, 4
87979.6297813, 5
87979.6300724, 5
87979.6304887, 4
87979.6309565, 3
87979.6313532, 6
87979.6316671, 5
87979.633877, 5
87979.6341739, 5
