0, 6.511827
10, 9.8438999
12, 15.5925483
10, 21.3408804
15, 27.089026
12, 32.836953
12, 38.584503
15, 44.3319461
10, 50.0812496
10, 55.8291592
12, 61.5771675
15, 67.3240482
15, 73.0725256
15, 78.8206596
12, 84.569596
12, 90.3172467
15, 96.0643882
12, 101.8126128
10, 107.5615678
10, 113.3086183
15, 119.0571534
10, 124.8057778
12, 130.5537755
10, 136.3018425
10, 142.0494877
10, 147.797594
15, 153.5458071
10, 159.2928263
15, 165.0421034
12, 170.7894658
15, 176.5367969
15, 182.284975
12, 188.0337193
15, 193.7822856
10, 199.5297796
12, 205.2766793
12, 211.0253968
12, 216.7737313
15, 222.5378101
10, 228.2859538
12, 234.0347157
15, 239.7829833
15, 245.5308741
15, 251.277846
10, 257.0272739
10, 262.7755654
15, 268.5221972
10, 274.2701835
12, 280.0194728
15, 285.7842053
10, 291.5318282
15, 297.2800645
10, 303.0286158
12, 308.7757835
10, 314.5234701
12, 320.2713192
15, 326.0203327
12, 331.768186
12, 337.5158838
12, 343.2639084
10, 349.0125351
