0,0,1426600.7617607
9, 0.5, 1426610.0954716
15, 1.5, 1426614.4606651
8, 1.5, 1426618.8260669
9, 0.5, 1426623.1912953
12, 1, 1426627.5400184
14, 1.5, 1426631.9052005
13, 0.5, 1426636.2865901
9, 0, 1426640.6522276
10, 1, 1426645.0004094
9, 1.5, 1426649.3490438
13, 0, 1426653.6975859
13, 1, 1426658.045836
9, 1.5, 1426662.3778782
11, 0.5, 1426666.7433354
10, 1.5, 1426671.0914842
10, 0.5, 1426675.4234764
11, 0.5, 1426679.7721152
15, 0, 1426684.1205609
12, 1.5, 1426688.4691616
14, 0, 1426692.8179477
13, 1.5, 1426697.1826978
10, 0.5, 1426701.54785
8, 1, 1426705.9131028
15, 0, 1426710.2615321
9, 1, 1426714.6101182
13, 1, 1426718.9590237
15, 0.5, 1426723.3239047
14, 1, 1426727.7223707
14, 0, 1426732.0876299
12, 0.5, 1426736.4361003
10, 0, 1426741.1176379
12, 1.5, 1426745.4665075
13, 0, 1426749.7979742
8, 0.5, 1426754.1302298
15, 1, 1426758.4785284
15, 1, 1426762.8107763
12, 0, 1426767.175902
11, 1, 1426771.5409018
15, 1.5, 1426775.8892953
13, 1.5, 1426780.2210896
10, 1, 1426784.6199518
8, 0.5, 1426788.9848363
11, 0, 1426793.3667802
14, 0.5, 1426797.7153558
10, 0, 1426802.1140451
14, 1, 1426806.4455808
12, 0, 1426810.8773359
9, 1, 1426815.2093529
11, 1, 1426819.5747792
10, 1.5, 1426824.006369
9, 0, 1426828.3547538
11, 1.5, 1426832.7032681
8, 1, 1426837.0517822
8, 0, 1426841.3835643
14, 0.5, 1426845.7489759
11, 1.5, 1426850.0972234
12, 0.5, 1426854.4628195
15, 0.5, 1426858.7945729
14, 1.5, 1426863.1427556
11, 0, 1426867.508335
13, 0.5, 1426871.8568539
12, 1, 1426876.2052095
8, 0, 1426880.5374145
8, 1.5, 1426884.9021779
