0,0,236079.4692212
12.4, 1.7, 236086.519032
14, 0.5, 236092.2669998
9.6, 0.8, 236098.0323167
15.6, 1.3, 236103.7799023
15.8, 1.65, 236109.5278444
11.2, 1.6, 236115.276067
9.4, 0.45, 236121.0238257
13.8, 0.15, 236126.7719798
13.2, 1.1, 236132.5202292
8.6, 1.05, 236138.2682572
11.6, 0.3, 236144.0166683
15, 0.25, 236149.7644791
14.6, 1.55, 236155.5128961
12.8, 0.4, 236161.2606756
8.8, 1.4, 236167.0084159
9, 1.75, 236172.7564974
9.8, 1.15, 236178.5048095
14.4, 1.2, 236184.2527553
10.8, 0.9, 236190.0006339
14.6, 1.55, 236195.7489738
12.8, 0.4, 236201.4969446
9.4, 0.45, 236207.2452343
13.2, 1.1, 236212.993023
10, 1.5, 236218.7412096
14.6, 1.55, 236224.489297
13, 0.75, 236230.2370823
12.2, 1.35, 236235.9853783
15.8, 1.65, 236241.7333222
15.6, 1.3, 236247.4812022
12.2, 1.35, 236253.2294086
15.4, 0.95, 236258.9771631
8.2, 0.35, 236264.7254699
13.6, 1.8, 236270.4736157
12.4, 1.7, 236276.2219826
10.4, 0.2, 236281.9696824
12, 1, 236287.7181926
12.4, 1.7, 236293.4656052
13.6, 1.8, 236299.2138612
14.8, 1.9, 236304.9617324
11.6, 0.3, 236310.7100119
8.2, 0.35, 236316.4581014
8.4, 0.7, 236322.2060843
12.2, 1.35, 236327.9541484
8, 0, 236333.7021428
12.8, 0.4, 236339.4504843
9.4, 0.45, 236345.198293
13.4, 1.45, 236350.9463306
10, 1.5, 236356.694383
11, 1.25, 236362.4425732
11, 1.25, 236368.1904432
15.6, 1.3, 236373.938632
8.6, 1.05, 236379.6868562
9.6, 0.8, 236385.4346865
8, 0, 236391.1827279
8.4, 0.7, 236396.9305947
12, 1, 236402.6789272
12.4, 1.7, 236408.4269511
10.8, 0.9, 236414.1758063
14, 0.5, 236419.9230077
9.8, 1.15, 236425.6877931
13.4, 1.45, 236431.4358473
13, 0.75, 236437.1837489
14.2, 0.85, 236442.9319976
14.4, 1.2, 236448.6800759
15.8, 1.65, 236454.4279689
8.6, 1.05, 236460.1761774
12.6, 0.05, 236465.9243941
15.6, 1.3, 236471.6723065
14.2, 0.85, 236477.4206834
11.8, 0.65, 236483.1681863
11.6, 0.3, 236488.9165109
10.2, 1.85, 236494.6645663
13.4, 1.45, 236500.4126995
11, 1.25, 236506.1607327
12.6, 0.05, 236511.9088651
10.8, 0.9, 236517.6571322
11.4, 1.95, 236523.4048696
9.2, 0.1, 236529.1527747
9.4, 0.45, 236534.9007857
15.2, 0.6, 236540.6489343
9, 1.75, 236546.3970326
11.4, 1.95, 236552.1450892
14.6, 1.55, 236557.8931408
12.6, 0.05, 236563.641373
14.6, 1.55, 236569.3892615
12, 1, 236575.1375371
11.6, 0.3, 236580.8854182
11, 1.25, 236586.6334914
13.8, 0.15, 236592.3814767
14.4, 1.2, 236598.1295199
8.8, 1.4, 236603.8776565
13, 0.75, 236609.6256832
13.6, 1.8, 236615.3739152
12.2, 1.35, 236621.1215437
11.4, 1.95, 236626.8698223
15, 0.25, 236632.6179707
8, 0, 236638.3661405
14.8, 1.9, 236644.114078
10.2, 1.85, 236649.8620551
15.4, 0.95, 236655.6099864
9, 1.75, 236661.3584949
10, 1.5, 236667.1063969
9.4, 0.45, 236672.8541851
12.6, 0.05, 236678.6027691
