0,0,51216.511678542
10, 0.5, 51218.943418208
12, 0.5, 51224.692083875
8, 0, 51230.443158625
8, 0.5, 51236.192583708
8, 1, 51241.942629125
9, 1.5, 51247.75933575
10, 0, 51253.509056792
10, 0.5, 51259.259560708
11, 0, 51265.00961175
15, 1, 51270.759565458
12, 1, 51276.508816375
14, 0, 51282.259004917
14, 0, 51288.00883925
9, 1, 51293.75873175
14, 1, 51299.508923833
15, 1, 51305.258981375
15, 0, 51311.008762583
8, 0, 51316.758957083
15, 0.5, 51322.509024917
15, 1, 51328.258970417
13, 0, 51334.009137792
14, 0.5, 51339.759464042
8, 1, 51345.509022375
11, 1.5, 51351.258914292
10, 1, 51357.009024375
11, 0, 51362.759034417
9, 1, 51368.508987417
15, 1, 51374.259162208
9, 0, 51380.009318042
13, 0.5, 51385.759893833
9, 1.5, 51391.509501167
13, 1.5, 51397.275805458
11, 1.5, 51403.025851333
15, 0, 51408.776158125
13, 1.5, 51414.525938042
9, 0, 51420.275598625
13, 1, 51426.026166125
14, 0, 51431.776346333
12, 1.5, 51437.526052417
9, 0.5, 51443.276155958
10, 1.5, 51449.026105583
9, 1, 51454.776877625
10, 0.5, 51460.526460583
12, 0, 51466.276732375
9, 1, 51472.026630417
13, 1.5, 51477.776354958
8, 1.5, 51483.526538458
8, 1.5, 51489.27736675
14, 1, 51495.02720675
8, 1.5, 51500.776845833
14, 1, 51506.526748333
14, 0.5, 51512.27694925
14, 0.5, 51518.026706083
10, 1, 51523.777044625
14, 1, 51529.527487958
14, 0.5, 51535.277177833
13, 0.5, 51541.02738
13, 1, 51546.777776542
11, 0, 51552.527135375
9, 1, 51558.277458625
15, 0, 51564.044277792
10, 1, 51569.79494325
15, 1.5, 51575.544566375
14, 1, 51581.294550417
9, 0.5, 51587.044675708
9, 1, 51592.7944615
9, 0, 51598.545385458
13, 0, 51604.295313625
11, 0, 51610.044896292
15, 1.5, 51615.794976875
14, 1.5, 51621.545043208
12, 1, 51627.295152375
15, 1, 51633.045239042
15, 0, 51638.795029667
9, 0.5, 51644.595266375
8, 0, 51650.345192167
15, 0.5, 51656.095611292
15, 1, 51661.845582333
15, 0, 51667.59557425
12, 1.5, 51673.345508875
11, 1, 51679.095754333
14, 0, 51684.846070625
