0,0,707486.1626996
10, 0, 707488.6458636
8, 1, 707492.6769147
9, 0, 707496.7096251
11, 0.5, 707503.3073797
10, 1, 707507.3050129
12, 1, 707511.3535289
10, 1, 707515.3694482
10, 1.5, 707519.3846461
15, 0.5, 707523.4171125
8, 0.5, 707527.4317015
13, 1, 707531.4472092
14, 1, 707535.4624459
12, 1, 707539.4779469
15, 1.5, 707543.4939448
12, 0, 707547.5091975
15, 1.5, 707551.5075694
8, 1.5, 707555.5223459
10, 1.5, 707559.521228
9, 0, 707563.5369722
15, 0.5, 707567.5513134
13, 1, 707571.5504027
8, 1, 707575.5486293
13, 1.5, 707579.564897
8, 0, 707583.5802466
11, 0, 707587.595624
9, 1.5, 707591.6108773
14, 1.5, 707595.6260181
11, 1, 707599.6413076
15, 1, 707603.6569816
10, 0.5, 707607.6555683
12, 1.5, 707611.6535124
12, 1.5, 707615.6689934
11, 1.5, 707619.6848867
12, 0.5, 707623.6999032
14, 0.5, 707627.7144376
14, 0, 707631.7300676
11, 1, 707635.7291906
9, 1, 707639.743745
15, 1, 707643.7592818
9, 1, 707647.7753642
10, 0.5, 707651.7904514
15, 0, 707655.8382486
8, 1.5, 707659.8543064
11, 0, 707663.8696823
14, 1, 707667.8681629
11, 1.5, 707671.8837122
8, 0, 707675.8987462
10, 0, 707679.9144321
14, 0.5, 707683.9296903
9, 0.5, 707687.9444298
13, 0, 707691.9602573
12, 0, 707695.9754657
15, 0, 707699.9900519
9, 0.5, 707704.0061973
14, 1.5, 707708.0208111
13, 0.5, 707712.0359391
14, 0, 707716.0518809
8, 0.5, 707720.0675509
13, 1.5, 707724.0658484
11, 0.5, 707728.0806203
9, 1.5, 707732.0965423
13, 0.5, 707736.1118774
13, 0, 707740.1262941
12, 0.5, 707744.1417461
