time, ch1, ch2, ch3, ch4, ch5, ch6, ch7
2.374649963378906250e+02, 3.741000061035156250e+02, 4.338981628417968750e+01, 2.175276031494140625e+02, 3.360615158081054688e+01, 1.455766448974609375e+02, 2.869088439941406250e+02, 1.954037933349609375e+02, 0.000000000000000000e+00
2.374683380126953125e+02, 3.705000000000000000e+02, 2.992401123046875000e+01, 2.181260223388671875e+02, 3.060560417175292969e+01, 1.452758636474609375e+02, 2.839139709472656250e+02, 1.948053131103515625e+02, 0.000000000000000000e+00
2.374716644287109375e+02, 3.758999938964843750e+02, 4.219285583496093750e+01, 2.184252319335937500e+02, 3.300604248046875000e+01, 1.461782073974609375e+02, 2.917006530761718750e+02, 2.082711181640625000e+02, 0.000000000000000000e+00
2.374750061035156250e+02, 3.741000061035156250e+02, 5.117005920410156250e+01, 2.199212951660156250e+02, 3.360615158081054688e+01, 1.494867706298828125e+02, 2.911016540527343750e+02, 2.094680786132812500e+02, 0.000000000000000000e+00
2.374783325195312500e+02, 3.690000000000000000e+02, 3.590881347656250000e+01, 2.085512237548828125e+02, 2.910532951354980469e+01, 1.476820983886718750e+02, 2.854114074707031250e+02, 2.043809967041015625e+02, 0.000000000000000000e+00
2.374816741943359375e+02, 3.666000061035156250e+02, 2.603388977050781250e+01, 2.124409790039062500e+02, 3.270598983764648438e+01, 1.452758636474609375e+02, 2.836144714355468750e+02, 2.013885955810546875e+02, 0.000000000000000000e+00
2.374850006103515625e+02, 3.662999877929687500e+02, 4.129513549804687500e+01, 2.073543548583984375e+02, 2.640483283996582031e+01, 1.386587524414062500e+02, 2.767262878417968750e+02, 1.992939147949218750e+02, 0.000000000000000000e+00
2.374883270263671875e+02, 3.612000122070312500e+02, 4.099589538574218750e+01, 2.094488525390625000e+02, 2.940538215637207031e+01, 1.398618621826171875e+02, 2.707365417480468750e+02, 1.897182312011718750e+02, 0.000000000000000000e+00
2.374916687011718750e+02, 3.698999938964843750e+02, 3.949969482421875000e+01, 2.142362518310546875e+02, 4.230774307250976562e+01, 1.446743164062500000e+02, 2.800206298828125000e+02, 2.055779571533203125e+02, 0.000000000000000000e+00
2.374949951171875000e+02, 3.752999877929687500e+02, 5.356398010253906250e+01, 2.253071136474609375e+02, 4.380801773071289062e+01, 1.455766448974609375e+02, 2.866093444824218750e+02, 2.070741577148437500e+02, 0.000000000000000000e+00
2.374983367919921875e+02, 3.711000061035156250e+02, 4.279133605957031250e+01, 2.247086944580078125e+02, 4.710862350463867188e+01, 1.392602996826171875e+02, 2.842134704589843750e+02, 2.010893554687500000e+02, 0.000000000000000000e+00
2.375016632080078125e+02, 3.752999877929687500e+02, 5.176853942871093750e+01, 2.282992401123046875e+02, 4.530829238891601562e+01, 1.428696441650390625e+02, 2.857109069824218750e+02, 2.055779571533203125e+02, 0.000000000000000000e+00
2.375050048828125000e+02, 3.692999877929687500e+02, 4.967385864257812500e+01, 2.232126312255859375e+02, 3.990730667114257812e+01, 1.440727539062500000e+02, 2.872083435058593750e+02, 2.001916351318359375e+02, 0.000000000000000000e+00
2.375083312988281250e+02, 3.782999877929687500e+02, 6.104498291015625000e+01, 2.265039825439453125e+02, 4.410807418823242188e+01, 1.443735351562500000e+02, 2.851119079589843750e+02, 2.043809967041015625e+02, 0.000000000000000000e+00
2.375116729736328125e+02, 3.758999938964843750e+02, 5.446170043945312500e+01, 2.220157928466796875e+02, 4.410807418823242188e+01, 1.425688629150390625e+02, 2.812185974121093750e+02, 2.013885955810546875e+02, 0.000000000000000000e+00
2.375149993896484375e+02, 3.735000000000000000e+02, 5.625714111328125000e+01, 2.193228607177734375e+02, 3.930719375610351562e+01, 1.452758636474609375e+02, 2.773252258300781250e+02, 2.070741577148437500e+02, 0.000000000000000000e+00
2.375183258056640625e+02, 3.780000000000000000e+02, 4.787841796875000000e+01, 2.202205047607421875e+02, 4.080746841430664062e+01, 1.506898803710937500e+02, 2.851119079589843750e+02, 2.088695983886718750e+02, 0.000000000000000000e+00
2.375216674804687500e+02, 3.717000122070312500e+02, 4.368905639648437500e+01, 2.145354766845703125e+02, 3.870708847045898438e+01, 1.476820983886718750e+02, 2.893047180175781250e+02, 2.034832763671875000e+02, 0.000000000000000000e+00
2.375249938964843750e+02, 3.803999938964843750e+02, 5.535942077636718750e+01, 2.169291687011718750e+02, 4.080746841430664062e+01, 1.512914276123046875e+02, 2.967919006347656250e+02, 2.154528808593750000e+02, 0.000000000000000000e+00
2.375283355712890625e+02, 3.795000000000000000e+02, 5.476094055175781250e+01, 2.178267974853515625e+02, 3.960725021362304688e+01, 1.443735351562500000e+02, 2.878072814941406250e+02, 2.070741577148437500e+02, 0.000000000000000000e+00
2.375316619873046875e+02, 3.780000000000000000e+02, 5.535942077636718750e+01, 2.211181488037109375e+02, 4.290785598754882812e+01, 1.467797546386718750e+02, 2.884062805175781250e+02, 2.091688385009765625e+02, 0.000000000000000000e+00
2.375350036621093750e+02, 3.786000061035156250e+02, 5.835182189941406250e+01, 2.265039825439453125e+02, 4.710862350463867188e+01, 1.479828796386718750e+02, 2.899037170410156250e+02, 2.109642791748046875e+02, 0.000000000000000000e+00
2.375383300781250000e+02, 3.762000122070312500e+02, 4.638221740722656250e+01, 2.181260223388671875e+02, 3.810697555541992188e+01, 1.437719726562500000e+02, 2.809190979003906250e+02, 1.992939147949218750e+02, 0.000000000000000000e+00
2.375416717529296875e+02, 3.651000061035156250e+02, 4.099589538574218750e+01, 2.121417694091796875e+02, 3.750686645507812500e+01, 1.416665344238281250e+02, 2.770257568359375000e+02, 1.927106323242187500e+02, 0.000000000000000000e+00
2.375449981689453125e+02, 3.767999877929687500e+02, 3.650729370117187500e+01, 2.151338958740234375e+02, 3.930719375610351562e+01, 1.362525177001953125e+02, 2.710360107421875000e+02, 1.968999938964843750e+02, 0.000000000000000000e+00
2.375483398437500000e+02, 3.681000061035156250e+02, 2.902629089355468750e+01, 2.079527893066406250e+02, 3.300604248046875000e+01, 1.383579711914062500e+02, 2.650462646484375000e+02, 1.930098724365234375e+02, 0.000000000000000000e+00
2.375516662597656250e+02, 3.677999877929687500e+02, 3.291641235351562500e+01, 2.133386077880859375e+02, 4.080746841430664062e+01, 1.476820983886718750e+02, 2.824165344238281250e+02, 1.843319091796875000e+02, 0.000000000000000000e+00
2.375549926757812500e+02, 3.698999938964843750e+02, 2.214376831054687500e+01, 2.172283782958984375e+02, 3.810697555541992188e+01, 1.497875366210937500e+02, 2.851119079589843750e+02, 1.924113922119140625e+02, 0.000000000000000000e+00
2.375583343505859375e+02, 3.773999938964843750e+02, 3.261717224121093750e+01, 2.226142120361328125e+02, 4.080746841430664062e+01, 1.494867706298828125e+02, 2.899037170410156250e+02, 1.980969543457031250e+02, 0.000000000000000000e+00
2.375616607666015625e+02, 3.762000122070312500e+02, 4.698069763183593750e+01, 2.187244415283203125e+02, 4.260779953002929688e+01, 1.458774261474609375e+02, 2.860103759765625000e+02, 1.989946746826171875e+02, 0.000000000000000000e+00
2.375650024414062500e+02, 3.675000000000000000e+02, 3.560957336425781250e+01, 2.127401885986328125e+02, 3.330609512329101562e+01, 1.443735351562500000e+02, 2.806195983886718750e+02, 1.891197509765625000e+02, 0.000000000000000000e+00
2.375683288574218750e+02, 3.666000061035156250e+02, 4.757917785644531250e+01, 2.121417694091796875e+02, 3.270598983764648438e+01, 1.380571899414062500e+02, 2.782237243652343750e+02, 1.930098724365234375e+02, 0.000000000000000000e+00
2.375716705322265625e+02, 3.728999938964843750e+02, 4.368905639648437500e+01, 2.229134216308593750e+02, 4.170763778686523438e+01, 1.398618621826171875e+02, 2.827160339355468750e+02, 2.010893554687500000e+02, 0.000000000000000000e+00
2.375749969482421875e+02, 3.636000061035156250e+02, 2.363996887207031250e+01, 2.130394134521484375e+02, 3.300604248046875000e+01, 1.332447357177734375e+02, 2.719344787597656250e+02, 1.870250701904296875e+02, 0.000000000000000000e+00
2.375783386230468750e+02, 3.743999938964843750e+02, 4.309057617187500000e+01, 2.172283782958984375e+02, 3.300604248046875000e+01, 1.383579711914062500e+02, 2.812185974121093750e+02, 1.915136718750000000e+02, 0.000000000000000000e+00
2.375816650390625000e+02, 3.732000122070312500e+02, 5.117005920410156250e+01, 2.193228607177734375e+02, 3.810697555541992188e+01, 1.470805358886718750e+02, 2.925990905761718750e+02, 1.870250701904296875e+02, 0.000000000000000000e+00
2.375850067138671875e+02, 3.735000000000000000e+02, 5.146929931640625000e+01, 2.208189239501953125e+02, 4.080746841430664062e+01, 1.470805358886718750e+02, 2.854114074707031250e+02, 1.924113922119140625e+02, 0.000000000000000000e+00
2.375883331298828125e+02, 3.683999938964843750e+02, 4.428753662109375000e+01, 2.169291687011718750e+02, 4.260779953002929688e+01, 1.452758636474609375e+02, 2.785231933593750000e+02, 1.939075927734375000e+02, 0.000000000000000000e+00
2.375916595458984375e+02, 3.662999877929687500e+02, 3.860197448730468750e+01, 2.139370422363281250e+02, 4.140758132934570312e+01, 1.425688629150390625e+02, 2.701375427246093750e+02, 1.960022735595703125e+02, 0.000000000000000000e+00
