0,0,1652075057.7038605
12.6, 1.75, 1652075062.3663416
12.6, 1.25, 1652075068.3496754
12.6, 1.25, 1652075074.3531916
12.6, 1.75, 1652075080.349231
12.6, 0.25, 1652075086.3488383
12.6, 1.25, 1652075092.3339283
12.6, 1.75, 1652075098.331231
12.6, 0.75, 1652075104.3432875
12.6, 0.25, 1652075110.3412125
12.6, 1.25, 1652075116.339494
12.6, 1.75, 1652075122.329925
12.6, 1.75, 1652075128.3509367
12.6, 1.25, 1652075134.3341956
12.6, 0.25, 1652075140.3451493
12.6, 0.75, 1652075146.3426023
12.6, 0.25, 1652075152.335157
12.6, 1.75, 1652075158.3363664
12.6, 0.75, 1652075164.3330524
12.6, 0.75, 1652075170.3309402
12.6, 1.25, 1652075176.3272905
12.6, 0.75, 1652075182.318734
12.6, 0.75, 1652075188.3217256
12.6, 0.25, 1652075194.3185894
12.6, 1.75, 1652075200.3160255
12.6, 0.25, 1652075206.312925
12.6, 1.75, 1652075212.3095953
12.6, 0.75, 1652075218.3067238
12.6, 1.25, 1652075224.3044946
12.6, 0.25, 1652075230.301297
12.6, 0.25, 1652075236.2964246
12.6, 0.75, 1652075242.294702
12.6, 0.75, 1652075248.2873077
12.6, 1.75, 1652075254.2892473
12.6, 1.25, 1652075260.2866144
12.6, 1.25, 1652075266.2830257
12.6, 0.75, 1652075272.279947
12.6, 1.25, 1652075278.2777054
12.6, 1.75, 1652075284.274843
12.6, 0.25, 1652075290.257206
12.6, 0.25, 1652075296.269069
